file,label,width,height,file_size_kb,avg_r,avg_g,avg_b,contrast,canny_edge_count,sobel_edge_count,center_edge_count,surround_edge_count,gray_hist_0,gray_hist_1,gray_hist_2,gray_hist_3,gray_hist_4,gray_hist_5,gray_hist_6,gray_hist_7,gray_hist_8,gray_hist_9,gray_hist_10,gray_hist_11,gray_hist_12,gray_hist_13,gray_hist_14,gray_hist_15,gray_hist_16,gray_hist_17,gray_hist_18,gray_hist_19,lum_hist_0,lum_hist_1,lum_hist_2,lum_hist_3,lum_hist_4,lum_hist_5,lum_hist_6,lum_hist_7,lum_hist_8,lum_hist_9,lum_hist_10,lum_hist_11,lum_hist_12,lum_hist_13,lum_hist_14,lum_hist_15,lum_hist_16,lum_hist_17,lum_hist_18,lum_hist_19,hog_0,hog_1,hog_2,hog_3,hog_4,hog_5,hog_6,hog_7,hog_8,hog_9,hog_10,hog_11,hog_12,hog_13,hog_14,hog_15,hog_16,hog_17,hog_18,hog_19,hog_20,hog_21,hog_22,hog_23,hog_24,hog_25,hog_26,hog_27,hog_28,hog_29,hog_30,hog_31,hog_32,hog_33,hog_34,hog_35,hog_36,hog_37,hog_38,hog_39,hog_40,hog_41,hog_42,hog_43,hog_44,hog_45,hog_46,hog_47,hog_48,hog_49,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,brightness,true_label,auto_label
00204_00.jpg,clean,600,600,69.07,122.38,127.3,121.96,247,3011,7290,906,2105,0,0,0,0,0,1,0,0,0,0,2,1,2,1,3,4,3,2,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,8,0.1162955571175359,0.0017235381592027,0.0,0.0,0.0979152428118775,0.1272061857394417,0.3242598202323753,0.2334578935466803,0.0172682112009651,0.3240598049799536,0.0027791217693528,0.0144079275467253,0.0384981994976424,0.1687303035936629,0.0665060793990481,0.2918916322950194,0.2154379652802606,0.165710067645487,0.0042755719528505,0.0,0.0031894184860139,0.0070656850397198,0.0237665116760572,0.0802460515812202,0.3242598202323753,0.196675735718682,0.0123170736316645,0.1449464821011935,0.0047874788249924,0.0007707896884201,0.0020280817732979,0.3202983768174782,0.0829854030157577,0.3242598202323753,0.1497023252101736,0.3048754461952958,0.2596939136782816,0.0029921341687325,0.0155122574291584,0.0414489855830969,0.1816630391120911,0.0716035960686487,0.2596939136782816,0.2319507206434446,0.1784113099947032,0.2270349371915134,0.0844792540608607,0.059594446319604,0.1280223556680222,0.1185039350924501,0.1051635742123313,0.1024780273374952,0.0490112304657585,0.0696411132769994,0.0788574218701869,0.0886840820258371,0.0615844726524911,0.1030273437437117,0.1463012695223204,0.1952514648318327,123.88,clean,clean
00207_03.jpg,clean,600,600,47.19,130.69,132.25,129.66,233,2106,6020,872,1234,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.1046554362443357,0.0,0.0104457605198395,0.0,0.0283140289900174,0.0292942006512043,0.0201072362543513,0.0055053995189686,0.0308744446344742,0.3247846947763873,0.0242799981687361,0.1287005561261355,0.008258098984949,0.0782557197671802,0.2440520647882919,0.3247846947763873,0.3247846947763873,0.2353388580109863,0.0221588052965353,0.030590055755344,0.0061795551698933,0.0981661815897655,0.3247846947763873,0.3247846947763873,0.3247846947763873,0.1025555916745263,0.0872510941858177,0.1638858738877825,0.0027526997594843,0.0104457605198395,0.0400988131731108,0.0874614026711456,0.1888072227723591,0.320341636899232,0.1040585666372178,0.0113496716399769,0.3117379020246499,0.0246432903237546,0.1306262524158223,0.0083816617033541,0.0794266296197743,0.2477037207702025,0.3117379020246499,0.3117379020246499,0.2388601416738691,0.2473266851316132,0.0515303964515751,0.0520067051772464,0.0187038577372274,0.0566637940575611,0.079772949213881,0.0941162109317556,0.0490722656220048,0.084655761713583,0.0997314453064128,0.1055908203060552,0.0684814453083202,0.1018676757750324,0.1405639648351706,0.1761474609267488,130.86666666666667,clean,clean
00217_05.jpg,clean,600,600,71.17,112.89,117.2,106.12,237,3324,8424,1137,2187,0,0,0,0,0,1,1,0,0,0,1,3,3,0,4,5,5,8,5,10,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,4,3,5,0.2526876522781315,0.0424968810807976,0.0920251755640329,0.0250492424440777,0.1434014521582224,0.1299779571458575,0.2526876522781315,0.1293206803308139,0.2526876522781315,0.2255551861546925,0.0689490437048682,0.09787826066168,0.0979174444718076,0.0838023141539552,0.2526876522781315,0.2526876522781315,0.2447081439732282,0.2095006925044569,0.1624618708631298,0.046600478714304,0.0283596124176659,0.0648742549828577,0.2526876522781315,0.1166949499782801,0.0705959585273573,0.1113292590736188,0.1823011865820686,0.0946944630674626,0.0977658113379608,0.1187935765389237,0.1083375239647855,0.0738116604341297,0.1644193821951646,0.2526876522781315,0.2526876522781315,0.2526876522781315,0.2189466691522147,0.0669289131310772,0.095010536089335,0.0950485718572479,0.081346999215847,0.2487781490387896,0.2487781490387896,0.2375384665312617,0.2033625543749393,0.2256758923705451,0.0632520670046925,0.0355015621088966,0.0347277106633803,0.1680937699118416,0.0987548828064724,0.0968017578065916,0.0531005859342589,0.0719604492143578,0.0823974609324708,0.0952758789004348,0.0615234374962449,0.1044921874936223,0.1368408203041479,0.198852539050363,112.07000000000001,clean,dirty
00517_04.jpg,clean,600,600,60.29,112.64,114.7,108.39,248,3034,7809,1087,1947,0,0,1,0,0,0,1,2,2,4,3,5,11,16,27,53,60,59,54,51,0,0,0,0,0,0,0,0,1,3,6,9,21,24,28,55,47,40,35,37,0.0504164440946101,0.0,0.0035301596046809,0.0024156181333167,0.3030687410955874,0.1404950117203298,0.3030687410955874,0.1325354659078459,0.0047388853039451,0.0909043230202654,0.0324287707488023,0.0486179398935061,0.0566549687530406,0.3030687410955874,0.2744916114924872,0.256827108600498,0.030327255090476,0.0,0.0271418072611608,0.0,0.0642937889509867,0.0271869420831151,0.3030687410955874,0.194178623635661,0.3030687410955874,0.0771112158443753,0.0,0.0278818213553525,0.0337304509713461,0.0417947547959197,0.0914541758250845,0.3030687410955874,0.3030687410955874,0.3030687410955874,0.0682281327220832,0.0474500993231258,0.0830463289309315,0.0296255477512376,0.0444152851503033,0.0517575733949172,0.2749684745366638,0.2507638789819127,0.234626339326703,0.0277056922942429,0.0,0.0359113259726078,0.1263509862407091,0.070573153031035,0.1296046359871728,0.2749684745366638,0.090209960931994,0.0943603515567407,0.0533447265592441,0.0824584960887171,0.0952758789004348,0.106445312493503,0.0670166015584096,0.100891113275092,0.1301879882733039,0.1798095703015252,111.91000000000001,clean,clean
00543_02.jpg,clean,600,600,68.59,117.65,117.13,116.23,237,3324,8793,1228,2096,0,0,0,0,0,0,0,1,1,3,3,2,5,6,5,11,13,14,16,16,0,0,0,0,0,0,0,0,0,3,2,2,3,2,4,8,7,8,15,25,0.2093781963051232,0.0295979544613212,0.0462119436839031,0.0,0.1351266185711844,0.1974064771728031,0.1363556763682243,0.1319363024874967,0.0786181289763944,0.2602058593696041,0.0098458032474184,0.0251785636791523,0.0181079714801701,0.2602058593696041,0.1820835552579174,0.2602058593696041,0.2602058593696041,0.2602058593696041,0.2566587092100309,0.1556428351255981,0.1053372421401411,0.1359809150736581,0.2602058593696041,0.1285721344214191,0.1787537910148326,0.0505800047884594,0.0546072051340755,0.1307919171561283,0.0,0.0434470932190614,0.0090773820298643,0.2027083016015453,0.2057193572415864,0.2602058593696041,0.2006382731496275,0.170658811840673,0.2463227277325867,0.0062057122995081,0.0158697993836749,0.0114132751294922,0.2543564458273684,0.1147654619950393,0.2493162150208611,0.221275497188959,0.2543564458273684,0.2543564458273684,0.1737992035463756,0.0369018184983559,0.1252723438686645,0.1799117771340643,0.1079711913996599,0.1053466796810701,0.0522460937468111,0.0774536132765226,0.0990600585877038,0.0888671874945759,0.055114746090386,0.1011962890563234,0.1204833984301462,0.1922607421757653,117.00333333333333,clean,clean
00547_06.jpg,clean,600,600,71.62,114.25,113.71,109.1,248,3532,9101,1215,2317,0,0,0,0,0,0,1,0,1,4,3,3,4,6,4,12,10,6,6,3,0,0,0,0,0,0,0,0,1,1,0,1,6,0,4,4,5,4,5,4,0.2751672992259146,0.0928118213422018,0.2490080156902903,0.0735656950053953,0.1406205379495996,0.0138309854729127,0.1786876950551898,0.1476399379547561,0.1342906346501789,0.2751672992259146,0.0439862542395188,0.0398649649771692,0.0222161536416571,0.0989610967779275,0.0307218803858486,0.0966891006518897,0.2751672992259146,0.2751672992259146,0.2751672992259146,0.2704715099748994,0.1371388032704683,0.0753647109638461,0.1583903254999657,0.0836997694824012,0.0915923142741681,0.2205710853307262,0.0760120095726763,0.2751672992259146,0.0657625061703391,0.0378253674844645,0.013119078991659,0.0428091434701431,0.021921130333197,0.0401098762758954,0.2751672992259146,0.2751672992259146,0.2907432961985804,0.0528175309780521,0.0478687958095982,0.0266765698391104,0.1188298682181078,0.0368900215996506,0.1161017153475412,0.2907432961985804,0.2907432961985804,0.2907432961985804,0.0706345256880493,0.1609088870326058,0.0226257630700326,0.080694410901696,0.1077270507746748,0.1058959960872866,0.0610961914025209,0.0719604492143578,0.0902709960882403,0.0820922851512394,0.0584716796839311,0.1046142578061148,0.1220703124925494,0.1958007812380492,112.35333333333331,clean,clean
00566_03.jpg,clean,600,600,78.09,117.66,120.65,119.64,241,4711,11345,1221,3490,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.2514967808753328,0.1277431877997552,0.0677565921496154,0.0794630304655647,0.1946600888335897,0.1863558675750518,0.2514967808753328,0.0545932206339462,0.0627484317808336,0.2110122686668908,0.0720654953443415,0.0452351259829526,0.0975622938247788,0.0871536755324063,0.0757158899433707,0.2249002559139633,0.2514967808753328,0.2514967808753328,0.0427758134055716,0.0517490431823581,0.0816984310174107,0.0818186588301512,0.2514967808753328,0.1431983742493591,0.2514967808753328,0.2514967808753328,0.0712745437793673,0.105159771417397,0.1062768797694349,0.0085079759215447,0.0516144040409392,0.214712640475759,0.2035568528066818,0.2514967808753328,0.2514967808753328,0.2066388659479189,0.2344404296442454,0.0800667458711785,0.0502574681436945,0.1083943896999962,0.0968301287217925,0.0841224345928539,0.2498703651530537,0.2501644831916442,0.2501644831916442,0.2501644831916442,0.0636903863402834,0.2096135577690796,0.0886221000736467,0.1355090993957397,0.1009521484313383,0.0956420898379124,0.0604858398400582,0.0825195312449634,0.1143188476492725,0.0840454101511202,0.0582885742151923,0.100891113275092,0.1232299804612286,0.1796264648327864,119.31666666666666,clean,dirty
0e02598e-acbb-423e-912e-cf2b922b5bd7.jpeg,clean,600,803,48.39,130.76,119.72,111.41,254,2278,6863,634,1644,0,1,0,3,3,4,11,11,13,13,16,21,22,22,25,20,16,11,30,20,0,1,3,1,4,4,3,7,8,6,14,18,21,18,19,19,22,22,22,18,0.0059322773331958,0.0,0.0,0.0,0.0069209902220618,0.0,0.0013982511527973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1419955005352298,0.1840729160335495,0.0457059183289038,0.2080802366453793,0.3602860932248938,0.3602860932248938,0.2875750249463532,0.0022108292621943,0.2415480683621874,0.3117637011129476,0.1663419519610979,0.3602860932248938,0.0883114879408655,0.3602860932248938,0.2562142880026354,0.2035934631075601,0.0211593794964545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008338512470714,0.0,0.0023584874448566,0.0034380566846377,0.1978402548190737,0.0937499999942779,0.0986328124939799,0.050659179684408,0.0729370117142982,0.0880737304633744,0.0903320312444865,0.0487670898407734,0.0904541015569791,0.1809692382702045,0.1854248046761825,120.63,clean,clean
3f53a459-b46f-4e87-90ac-f9e43cc23320.jpeg,clean,600,803,43.01,120.82,118.7,116.29,253,2197,6600,588,1609,0,0,4,4,4,7,26,11,32,32,36,35,58,42,67,62,83,46,93,53,0,0,1,1,8,10,18,13,19,24,38,42,41,59,66,54,79,67,68,77,0.0190183513235394,0.0,0.0183944362316491,0.0329270154598379,0.0618588392575161,0.0052496652190394,0.0044269064287198,0.0017498884685398,0.0086438109192524,0.0227433644686922,0.0,0.0050195962117186,0.0223926146689751,0.0823324680475026,0.005974492562445,0.0011067266071799,0.0017498884685398,0.0110672662583799,0.3219150752778889,0.02309509642636,0.0888218990827415,0.0727109323220546,0.3219150752778889,0.3219150752778889,0.2974036607555692,0.3219150752778889,0.1957208063209598,0.277410698275508,0.1462756315640166,0.0858824943795251,0.0847820774468321,0.3219150752778889,0.3219150752778889,0.0571642735170801,0.0649933321737452,0.3219150752778889,0.0391935678329452,0.0,0.0086502542264057,0.038589121815887,0.1418832809769916,0.0102958240780934,0.0019072184509351,0.0030155772461113,0.0190721848308849,0.0107888569835264,0.0,0.0038144369018703,0.0248740470713477,0.0728247846388034,0.0776367187452614,0.0914306640569195,0.0422973632786683,0.0894775390570387,0.1072387695247046,0.1261596679610498,0.0533447265592441,0.105773925774794,0.1372680663978718,0.1693725585834123,118.60333333333334,clean,clean
401.full.jpeg,clean,4000,3000,1821.85,135.23,129.3,126.67,229,3292,10170,805,2487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1522751086063179,0.0506841402958329,0.0171630274726963,0.0479160612808785,0.2612337320277191,0.1572680417776746,0.0784595593448356,0.0635688660402891,0.0060630960083864,0.2361176380224533,0.1820655852506192,0.0945817619103786,0.1663089799095194,0.1515895004118442,0.2244143537702169,0.2612337320277191,0.0,0.2612337320277191,0.216740440813481,0.1418536191092489,0.0686751887825716,0.1123624604506368,0.2612337320277191,0.0428005940720391,0.03874294115502,0.0923674583637041,0.1812634848983521,0.2612337320277191,0.2108312284643773,0.131586959583137,0.1612883048941839,0.1228985732958656,0.1958079403947573,0.1343195039993782,0.1998891303340796,0.2612337320277191,0.206987504444859,0.1596039222310651,0.0829130895421096,0.1457912293488558,0.1328877107745199,0.1967280692689538,0.2415459258465826,0.0,0.2554269757529334,0.2554269757529334,0.1121474775573222,0.1180746581483128,0.0458522021023068,0.0168077718166662,0.1000976562438905,0.0966796874940991,0.0617065429649837,0.0903930664007328,0.1084594726496301,0.0949096679629571,0.0620117187462151,0.0968627929628379,0.1071777343684583,0.1817016601451598,130.4,clean,dirty
