file,label,width,height,file_size_kb,avg_r,avg_g,avg_b,contrast,canny_edge_count,sobel_edge_count,center_edge_count,surround_edge_count,gray_hist_0,gray_hist_1,gray_hist_2,gray_hist_3,gray_hist_4,gray_hist_5,gray_hist_6,gray_hist_7,gray_hist_8,gray_hist_9,gray_hist_10,gray_hist_11,gray_hist_12,gray_hist_13,gray_hist_14,gray_hist_15,gray_hist_16,gray_hist_17,gray_hist_18,gray_hist_19,lum_hist_0,lum_hist_1,lum_hist_2,lum_hist_3,lum_hist_4,lum_hist_5,lum_hist_6,lum_hist_7,lum_hist_8,lum_hist_9,lum_hist_10,lum_hist_11,lum_hist_12,lum_hist_13,lum_hist_14,lum_hist_15,lum_hist_16,lum_hist_17,lum_hist_18,lum_hist_19,hog_0,hog_1,hog_2,hog_3,hog_4,hog_5,hog_6,hog_7,hog_8,hog_9,hog_10,hog_11,hog_12,hog_13,hog_14,hog_15,hog_16,hog_17,hog_18,hog_19,hog_20,hog_21,hog_22,hog_23,hog_24,hog_25,hog_26,hog_27,hog_28,hog_29,hog_30,hog_31,hog_32,hog_33,hog_34,hog_35,hog_36,hog_37,hog_38,hog_39,hog_40,hog_41,hog_42,hog_43,hog_44,hog_45,hog_46,hog_47,hog_48,hog_49,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9
img-20151212-wa0005_1_grande.jpg,unknown,600,351,30.36,113.38,112.29,106.85,247,3139,9110,685,2454,0,0,0,0,0,0,0,0,2,17,18,28,50,78,109,142,126,140,142,162,0,0,0,0,0,0,0,1,10,18,19,38,67,79,126,118,165,141,143,127,0.2781663597000901,0.1747391117939119,0.012935920619864026,0.08099140962334317,0.07607744953807141,0.010096237385034552,0.0255699324106162,0.07349836001551854,0.17422977813436508,0.1865429925032717,0.013960286452718993,0.0033726267432280274,0.006239885503635317,0.011244234561375212,0.034366826588044526,0.019970015069419072,0.2781663597000901,0.2781663597000901,0.23521779160110226,0.2781663597000901,0.23947394266201186,0.2781663597000901,0.20834748297114913,0.18237915950625305,0.24538837906878458,0.1273917488271961,0.22210290303699415,0.1507223705046401,0.04451640413147711,0.010032825808294983,0.008818243086529263,0.007092903860907195,0.0029579893939228018,0.044676900969593654,0.2781663597000901,0.2781663597000901,0.35416813861452767,0.026504821227194462,0.006403225979500128,0.01184696677336478,0.0213481598601328,0.06524841721171872,0.03791481508004743,0.38382528852223124,0.38382528852223124,0.32991281135938105,0.02906192522044363,0.007534655316637613,0.011126203521440304,0.21162060065339156,0.04907226562200487,0.07617187499535083,0.06072998046504333,0.12115478514885529,0.18981933592591435,0.13543701171048358,0.06536865233976022,0.0796508789013885,0.10833740233713761,0.11425781249302626
imm_demorara_cuatro_o_cinco_dias_en_levantar_basura_de_los_contenedores.jpg,unknown,600,399,46.72,114.49,116.44,109.67,255,2935,8108,623,2312,2,4,6,8,16,37,38,36,66,68,102,99,90,85,104,91,109,113,103,119,0,4,13,11,18,33,34,51,63,81,75,73,100,110,96,92,104,96,102,114,0.052690744390252585,0.025704562954837782,0.01033696544479971,0.12479493276939069,0.3431039738817506,0.2057772130421958,0.002372280065005761,0.01158792745706314,0.0023054418718742994,0.13550054477859266,0.1830056502357122,0.3431039738817506,0.16948700197385216,0.3431039738817506,0.05938618959176492,0.10002065844932245,0.07452447629221838,0.09306814470989717,0.08311234864219545,0.016915575854043702,0.012808763050230302,0.03807943539455163,0.24730320975232115,0.03090287401030525,0.014738027019552609,0.009144510414453662,0.09015732344187173,0.1797560581954872,0.14769975656139245,0.019792091099587208,0.017377420428413615,0.09970093958701871,0.11951858609776371,0.3431039738817506,0.2882192723224425,0.3431039738817506,0.12880791918399637,0.17396665854217644,0.3336557330622053,0.16111572162796825,0.3336557330622053,0.05645299450331103,0.09508045086698315,0.0708435728812973,0.08847133479784244,0.16217831970434346,0.11878086338207988,0.05328368426075218,0.013030721867797053,0.3336557330622053,0.07952880858889594,0.09979248046265915,0.055786132809095085,0.09606933593163638,0.12371826171119883,0.10821533202464506,0.06341552733987942,0.09680175780659168,0.10888671874335408,0.16778564452100916
WhatsApp Image 2020-05-08 at 2.18.57 PM (1).jpeg,unknown,600,353,57.18,133.67,141.15,150.5,235,2820,8683,740,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3326493374782372,0.013518092835665156,0.04943372448012729,0.23330213515088175,0.13748667421245128,0.0420831816369835,0.020062229557402254,0.003954188061510117,0.06027540921501686,0.3679628601339173,0.14131969577800238,0.08443691640736761,0.042679593208698685,0.04540964209234305,0.29518080120657614,0.19349196208302996,0.161676365287699,0.3679628601339173,0.14628981357060958,0.01401456562683505,0.00875296843760761,0.062371371326855225,0.022144689983836546,0.01121474173295982,0.02579908826523279,0.017472282162009654,0.018273569920288526,0.3679628601339173,0.05600371610305473,0.11653930343665758,0.0,0.031093130142774785,0.031132215211588786,0.1676046136747017,0.1002600214948916,0.3679628601339173,0.27397296076847744,0.07684642709693211,0.04591486915724413,0.02320818927597428,0.02469272758716341,0.16051258669540708,0.10521651547717545,0.08791591964573182,0.254974715608539,0.27397296076847744,0.153261678925859,0.07571376667271552,0.13597569721566133,0.052509557397130764,0.10174560546253994,0.10314941405620426,0.05798339843396097,0.08099365233880654,0.10443115233737603,0.0885620117133446,0.06079101562128961,0.10278320311872662,0.11529541014921292,0.18426513670750336
WhatsApp Image 2020-05-08 at 2.18.57 PM (3).jpeg,unknown,600,576,98.07,89.16,87.62,79.25,255,3090,7757,525,2565,1,7,26,34,84,112,143,211,178,192,246,251,261,273,299,358,510,467,365,345,12,19,18,62,94,105,156,147,165,166,212,216,264,274,310,544,478,368,347,274,0.2465323294819762,0.12217324818591925,0.14210183791068623,0.05388344247809229,0.16223391008904367,0.21785219711784748,0.08659542253389726,0.03628455513438218,0.25975291597698646,0.22085717911925234,0.08425210623996934,0.19805079777436113,0.21239902491866194,0.2600384323526136,0.1793507098219093,0.2600384323526136,0.20168033341515418,0.043668939652843075,0.03432300385330858,0.06154340410447062,0.08711552078031655,0.07233829536171085,0.2600384323526136,0.2600384323526136,0.14866959075775532,0.016053426661187007,0.05775205246132442,0.0661064528901337,0.07466973948659346,0.09610608237097097,0.21630614405778648,0.2600384323526136,0.2600384323526136,0.07451005296609083,0.07626075784838852,0.09812970558615886,0.18807142633123478,0.07174507007266444,0.168650601135094,0.18086886614741732,0.2610983709400973,0.15272649928899476,0.2610983709400973,0.17174134035220323,0.037186383524568385,0.06985924903795984,0.12007955546208327,0.00048574021707716985,0.0,0.1971201179153628,0.10156249999380111,0.09490966796295718,0.04925537109074369,0.07293701171429828,0.08294677733868733,0.098205566400256,0.06384277343360334,0.10711669921221212,0.13977050780396907,0.1894531249884367
WhatsApp Image 2020-05-08 at 2.18.58 PM (5).jpeg,unknown,600,400,38.56,112.83,120.58,99.1,255,4290,11063,1264,3026,2,27,21,13,24,12,18,15,10,19,21,22,27,29,30,44,55,66,59,75,20,11,7,16,9,8,9,8,7,6,11,13,21,29,20,36,29,50,44,35,0.2493176538131303,0.022968886411454007,0.19223712882357097,0.08171484868616176,0.14003117195003661,0.08095226010333123,0.031270405853785814,0.10438808820368153,0.021048320929393266,0.2493176538131303,0.2493176538131303,0.09479877925084973,0.1985042030619682,0.2493176538131303,0.16618813566784346,0.18710392848795945,0.12704385408184893,0.07314775353870011,0.2493176538131303,0.2493176538131303,0.14901102869788915,0.156925902546754,0.2493176538131303,0.2493176538131303,0.07622915899941196,0.2493176538131303,0.15971414048127758,0.12039986872001589,0.07168874597557304,0.04672889774784307,0.10017626814851523,0.07155173729458346,0.05270794619649656,0.16320968300115368,0.2493176538131303,0.13682295273237624,0.24843990826371268,0.16303532227526152,0.057599746502907626,0.1206111710138776,0.2026401619208787,0.10097592565964188,0.11368436319297878,0.07719185676962494,0.04444458140054081,0.24843990826371268,0.24843990826371268,0.17043207514577455,0.09545698741067232,0.24843990826371268,0.09094238280694932,0.1098022460870482,0.0569458007777743,0.08337402343241125,0.10754394530593604,0.0948486328067109,0.058288574215192346,0.10168457030629366,0.11602783202416822,0.1805419921764806
WhatsApp Image 2020-05-08 at 2.19.00 PM (1).jpeg,unknown,600,338,48.58,92.24,97.17,82.75,254,2997,9017,1004,1993,0,4,7,10,36,31,30,45,42,46,35,56,57,39,42,46,63,58,61,62,4,5,7,21,25,32,35,47,42,32,42,46,38,48,46,43,24,46,76,58,0.01672163750689535,0.0018695359354753169,0.01483851891672831,0.0672714913799025,0.3988819522912137,0.01910580593415136,0.007744129273279665,0.007194945022804533,0.025932019726290983,0.022709887678136417,0.013507215831412468,0.020767843342242093,0.04304966899028237,0.3988819522912137,0.021031104329316548,0.004729593228524065,0.0037390718709506337,0.0,0.26048502327590145,0.06300605899813967,0.153604682491815,0.18672197538770394,0.3988819522912137,0.03993111587196674,0.062773175444162,0.22745223670237397,0.0858179628004856,0.0,0.0,0.0390418730900277,0.12078646594180782,0.3988819522912137,0.05768105715722639,0.08106906852376329,0.19139285058012648,0.3104404560542602,0.024454719005137442,0.014544993457494795,0.022363464781298338,0.046357233172714875,0.3502167580963419,0.022646952465392826,0.005092974260877014,0.004026349810269723,0.0,0.1741506683519795,0.09752863106573467,0.08188174569958315,0.17523760153503337,0.3502167580963419,0.08056640624508261,0.10607910155602544,0.05444335937167704,0.08911132811956107,0.13189697264819963,0.11090087889948115,0.06091308593378216,0.10455322264986858,0.09686279296283797,0.16467285155244915
